text,toxicity
NO KILL OUR CM,0
sorry this is not 5 mid,0
STFU DOG,1
JUST NOOB TEAM U NOOB,1
i got 1-12 feeders [SEPA] counter WHat? [SEPA] asscrack?,0
PAKYU,0
tq,0
when u had tide with you,0
gg wp,0
we waited you?,0
this team is awful [SEPA] whatever...,0
k,0
:D,0
friendly,0
spacecreated,0
huskar go alone,0
not today,0
oh lol [SEPA] thanks bra,0
gg,0
they cannot stop u,0
"screw your pouncy ass, Slark",1
SF RS,0
omg,0
ez rune,0
anyways gg guys  [SEPA] mid leaving lane so he can jungle [SEPA] thats awesome,0
gg,0
G?,0
4Head,0
pathethic,0
ez spec offlane,0
:D,0
kunkkaaaa,0
ez gamr,0
reported,0
lol,0
LOL,0
pick on someone your own soize,0
vi kak?,0
ggwp,0
6.82 dire picks,0
these 2 pussy so mad,0
gg wp im done [SEPA] these fucking guys [SEPA] arguing the whole game [SEPA] denying wards,0
all*,0
LOL [SEPA] solo kill,0
fuck u mom [SEPA] LOL,1
EZ DDOS [SEPA] GET HIE NIGGA [SEPA] hit [SEPA] offline [SEPA] LOL [SEPA] LOL [SEPA] LOL [SEPA] LOL [SEPA] LOL,1
ff plz,0
this game was over when i saw the sf but 6 sents lol,0
ty,0
wtf,0
ah XD,0
ggwp,0
very true,0
aaa,0
i have raging bonert,0
? [SEPA] haha,0
report riki,0
ha ha,0
:)),0
ty,0
4-16 alche [SEPA] never forget,0
do you actually work is the question,0
very weak [SEPA] agn agn dc [SEPA] playing with p4 i guess,0
BOOM [SEPA] EZ,0
lol,0
end bro [SEPA] we wont def,0
and still you won... [SEPA] imagine what  ashitty hero alch must be,0
gg,0
SO DOES ORANGE,0
ggwp,0
DUEL HIM [SEPA] hes retarded,0
Fucking craggy [SEPA] jesus,0
shit,1
Chill mofo,0
wtf is this lc doing [SEPA] seriouslt [SEPA] i dont get it,0
what is gg call? [SEPA] this is not lol,0
tusk [SEPA] ez,0
GGWP [SEPA] COMMEND ME,0
enserio,0
doe [SEPA] npopb [SEPA] noob [SEPA] die,1
GGWP,0
lol,0
ok [SEPA] whr are you [SEPA] why you kill me just now,0
doing good? [SEPA] life goin good?,0
fuck this bs,1
3-Apr,0
:),0
this noob will win this game :),1
SAMUEL DONT REPORT,0
lol,0
haha,0
mirana ? sad,0
g Wp [SEPA] afk,0
DAmn back stun,0
LMAO,0
panda tv,0
SO SLOW TEAM [SEPA] DAT SLOW QW INVOKER,0
llol lich,0
:O,0
bl,0
zzzz super lag,0
gg wp,0
good stuff,0
w8 1 min plz,0
trash meepo,1
SURE,0
a u kidding me? [SEPA] :c,0
quiet ady slark?,0
sec [SEPA] rdy,0
lmfoa,0
im not talking to you,0
no,0
wat a mive [SEPA] move*,0
"Report shaker, ty",0
slark is dc [SEPA] mirana,0
i dont understand shit language,1
lol,0
yea,0
xD,0
^^,0
AHAHAHAH,0
28% loss [SEPA] wtf [SEPA] is this aussie server?,0
sad [SEPA]  [SEPA] its ok man [SEPA] next game u will be carried [SEPA] pick pheonix afk bot,0
small dick so fast pee,1
tiny and wk are alike,0
:D,0
i rcoked this show,0
wo guys,0
yeah,0
