message,target
keep trash out of dota,1
he prob gonna play better than this qop,0
send to gof,0
we fckng lost,1
wtf i thought offlane or jg huskar,1
like the oracle,0
rat ass bitch,2
fatally bonded,0
best team i had in months,0
team diiot,2
very sad aint it s,0
wha mean,0
i ll have to check w  your mom first,2
she is a man,0
after the loss,0
who tf is steven,1
he scared,0
puck are you done with your acrobatics ,0
today im ur captain,0
who,0
idiot as fuck,1
sry its raining,0
it seems your mom didnt breastfeed you yesterday,2
cumshot,1
comenc me ty,0
feeding,0
this idiot cant fucking use  spells together,2
for what tard,1
cry please,0
who banned naix,0
i dont have sex,1
stupid kotl dont know how to place ward  buying for next game,2
they are farming u,0
two aghs,0
ember son of a whore,0
sea best carry,0
whore,0
what piggy,2
with this mothjerfuck midlaner,1
that just happened,0
f off virgin,2
i m supposed to call you my brother  and your dog of a gf is your love,2
imagine throwing this game,0
sorry to waste your time,0
zzzz we have another depressive kiddo here,2
manners is me inside ur mother,2
puidge asshol,2
if you re playin  me  keep it on the low cause my heart can t take it anymore,0
watch us lose,0
your mother takes my banana,2
full force,0
ind g poor country ,2
report team pelase,0
hilarious,0
my mid is retarded,1
ty free duel,0
wtf is worng with u people  ,1
that doesn count,0
always   dog suck my djck    ,2
phone  a couple of mins max,0
f ur mom russian in dota,2
legion get off my dick,2
oh sorry i meant pignoy,2
literally nothing,0
the machine,0
fak how do u use this,1
ogre is guardian or somethign,0
with sniper,0
rosh worth it ,0
we have a retarded qop,2
ur not serious idiot,1
how the fuck you lost,1
   ily emp,0
what a trash game,0
enjoy this treads dog pos  with you next,2
who needs a shard,0
is fucking u in mid ,1
i think pl may be the top contender for gayest hero ,2
dick for living,1
low rank animal,2
top,0
please report jakiro,0
need mana fucker,1
fuck off nabsters,1
nobody to follow up ,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
really strong series guys,0
stuid team,2
distrupter says its ease    ,0
did you try one shotting your parents dissapointment ,1
fair play i respect it,0
very happy,0
u knwo why putin rape ur ass ,2
earlier,0
lol this guy is mentely damaged,0
ty for waiting fags,1
undying did the mouse eat ur tongue   ,0
hoy tang ina mo bobo ka sa mid,2
who,0
    match fucking smurf,1
this idiot chasing bs,2
its fine bro,0
just as noob as you are    ,1
wtf how come od legend vs me cruseder wtf,1
fuck your mother in teh asshole,2
your descendants would feel my dick in your ass,2
gl to new player invok,0
sry for the waste of time    what a sht game ,1
seal totem not jump in this barrier,0
trash loser,2
because none of u idiots were there,1
i only kill him twice lol,0
out sniper sight,0
that ur a son of whore,2
he s dead,0
we deboosters are losing the rate  take push heroes  buy meteors  tide will go behind the tower in the mid and will stop creeps for   minutes  do not kill him ,0
were talking so much shit,1
i hope his work goes under so he can play more dota,0
wtf thats maggie ,1
tellme what do u wantfrom me  ,0
wr leave the game    make your team stronger you rretard,2
the fuck u trying to do ,1
glad ur a good sport about it,0
      of gold xd,0
highlight,0
your life must be so sad,0
with me fucking ofc,1
i want to try but  i dont have persona,0
nice of you to come back to the lost lane enigma,0
is retard palyer xd,1
fuck this night,1
weirdest shit ive ever seen,1
upset he was born in a country where they are born with small willies,2
win ,0
and know everything ,0
is fucking u ,1
in yo head dumbass,2
piss off pa,0
wtf is this,1
omnislash this nuts,0
he nt coming back he bitching about the lane,1
what a fuckjing,1
fuck u,2
nice csing dog,2
pick sd and mirana without combo,0
fuk this cunt,2
ok i micro snap and my hero,0
as a whole,0
its my   k game,0
wtf sk think he is,1
kick this fking shaker,2
pa fed   kills though,0
throne it up ,0
fuck off,1
ursa reported for being  a dog,2
space cow is also always a gay hero,2
thats rough,0
my supports will let you,0
why do i need to cry  ,0
jugger playing world of warcraft killin creeps,0
learn english,0
where ur mom now od,2
     to     ,0
i fucking called it    sec in advance,1
get in the photo,0
im here to bang bitches and own noobs,2
this shit jug jz simply say i die back,1
u have gay hero,2
g next,0
horribl,0
for rough sex,2
thats mad racist,0
kill my currier,0
let me see how good of a server u have ape ,2
dont tal to me,0
can u do something ,0
back,0
pls be nice,0
rofl,0
why me ,0
this idiot dont know to paly,2
nailed it,0
she likes to drink cum to get into high mmr games,1
she cant do shit,1
fuck putin btw,1
just end this,0
not this game mate,0
like it s annyoing when two assholes won t communicate,0
why,0
its great russian language moron,2
that s why u start typing,0
is pl supp ,0
pussy bitch,2
item,0
why mkb btw ,0
invis  bitch wins again ,1
willow suck it,0
exactly  be quiet then,0
whip it out,0
was it worth it ,0
he prob gay,2
its a team game,0
my carry vs enemy carry,0
help us report this trash fuck pa,2
eater,0
and still fuck u easly,1
son of pig caught live on camera,2
seriously can you guys just end this shit,1
surewin,0
i prefer to farm cock,1
how come visage never gets banned,0
so useless this zeus  wanna bm,2
u need kills for arcana ,0
earth spirit,0
why,0
wp wp attempt to survive,0
report ty,0
leaving sniper alone,0
idk man i have pos   talking shit to me all game when he picks alch pos   and feeds all game ,1
finish it,0
fked up pos me and spec,1
all day fucking dogshit games,1
yaaaaa we was baiting yr mom to sleep with yr mouse ,2
youre playing a pussy hero and im free farming lol,1
fukion ez ching chongs,2
piece of shit,2
and otehr times dont,0
cringe shit,1
retarded ape,2
every fucking game,1
you are the most skilled archon ive ever seen,0
have you guys won a fight ,0
go to this whore,2
cyka,0
u lose   wisdom haha trash lol,1
you played too scared mid qop,0
cant wait ,0
on the map,0
never denied being a piece of shit ,1
losing to nt mider,0
rat fagot team,2
whitemon waiting for ur new songs with aki   ,0
you were given a free game,0
fuck this hero,1
imagine playing    k games but still plays like that,0
he had good reason its not ranked,0
just trhone this,0
termine hdp ,0
holy shit,1
ty ,0
how u to bee ind g orcle  ,2
i think u like a dog,2
dont wanna play this trash,1
it was so traumatic,0
the two shit noobs ,2
ur mom is fuckin joke,2
even ur own team,0
wtf ur mom came back my ,2
  o,0
why wtf,1
report this retard luna,2
honestly prob best as   atm  had some luck there when i ve been core,0
my suport is noob as fk,2
team is dogs,2
fk off spe,1
wow  such a little bitch  can t even reply normaly without insulting some one ,1
such a hate boner,1
fuck this mars mother,2
primal and od are foating  k collectivley,0
toxic,0
trio trash player,2
